Episode Name,Link
Pilot,http://community.livejournal.com/clinic_duty/385.html
Paternity,http://community.livejournal.com/clinic_duty/620.html
Occam's Razor,http://community.livejournal.com/clinic_duty/1018.html
Maternity,http://community.livejournal.com/clinic_duty/1082.html
Damned If You Do,http://community.livejournal.com/clinic_duty/1302.html
The Socratic Method,http://community.livejournal.com/clinic_duty/1549.html
Fidelity,http://community.livejournal.com/clinic_duty/1970.html
Poison,http://community.livejournal.com/clinic_duty/2292.html
DNR,http://community.livejournal.com/clinic_duty/2476.html
Histories,http://community.livejournal.com/clinic_duty/2704.html
Detox,http://community.livejournal.com/clinic_duty/3037.html
Sports Medicine,http://community.livejournal.com/clinic_duty/3275.html
Cursed,http://community.livejournal.com/clinic_duty/3557.html
Control,http://community.livejournal.com/clinic_duty/3637.html
Mob Rules,http://community.livejournal.com/clinic_duty/3931.html
Heavy,http://community.livejournal.com/clinic_duty/4285.html
Role Model,http://community.livejournal.com/clinic_duty/4358.html
Babies &amp; Bathwater,http://community.livejournal.com/clinic_duty/4667.html
Kids,http://community.livejournal.com/clinic_duty/4910.html
Love Hurts,http://community.livejournal.com/clinic_duty/5241.html
Three Stories,http://community.livejournal.com/clinic_duty/5523.html
The Honeymoon,http://community.livejournal.com/clinic_duty/5691.html
Acceptance,http://community.livejournal.com/clinic_duty/6075.html
Autopsy,http://community.livejournal.com/clinic_duty/6272.html
Humpty Dumpty,http://community.livejournal.com/clinic_duty/6593.html
TB or Not TB,http://community.livejournal.com/clinic_duty/6814.html
Daddy's Boy,http://community.livejournal.com/clinic_duty/7081.html
Spin,http://community.livejournal.com/clinic_duty/7321.html
Hunting,http://community.livejournal.com/clinic_duty/7505.html
The Mistake,http://community.livejournal.com/clinic_duty/7736.html
Deception,http://community.livejournal.com/clinic_duty/8014.html
Failure to Communicate,http://community.livejournal.com/clinic_duty/8231.html
Need to Know,http://community.livejournal.com/clinic_duty/8508.html
Distractions,http://community.livejournal.com/clinic_duty/8943.html
Skin Deep,http://community.livejournal.com/clinic_duty/8997.html
Sex Kills,http://community.livejournal.com/clinic_duty/9291.html
Clueless,http://community.livejournal.com/clinic_duty/9496.html
Safe,http://community.livejournal.com/clinic_duty/9886.html
All In,http://community.livejournal.com/clinic_duty/10176.html
Sleeping Dogs Lie,http://community.livejournal.com/clinic_duty/10464.html
House vs. God,http://community.livejournal.com/clinic_duty/10749.html
Euphoria (1),http://community.livejournal.com/clinic_duty/10985.html
Euphoria (2),http://community.livejournal.com/clinic_duty/11244.html
Forever,http://community.livejournal.com/clinic_duty/11470.html
Who's Your Daddy,http://community.livejournal.com/clinic_duty/11594.html
No Reason,http://community.livejournal.com/clinic_duty/12008.html
Meaning,http://community.livejournal.com/clinic_duty/13100.html
Cane &amp; Able,http://community.livejournal.com/clinic_duty/13358.html
Informed Consent,http://community.livejournal.com/clinic_duty/13589.html
Lines in the Sand,http://community.livejournal.com/clinic_duty/13918.html
Fools for Love,http://community.livejournal.com/clinic_duty/14608.html
Que Será Será,http://community.livejournal.com/clinic_duty/14906.html
Son of a Coma Guy,http://community.livejournal.com/clinic_duty/15170.html
Whac-A-Mole,http://community.livejournal.com/clinic_duty/15394.html
Finding Judas,http://community.livejournal.com/clinic_duty/15640.html
Merry Little Christmas,http://community.livejournal.com/clinic_duty/16413.html
Words and Deeds,http://community.livejournal.com/clinic_duty/16705.html
"One Day, One Room",http://community.livejournal.com/clinic_duty/17124.html
Needle in a Haystack,http://community.livejournal.com/clinic_duty/17180.html
Insensitive,http://community.livejournal.com/clinic_duty/17614.html
Half-Wit,http://community.livejournal.com/clinic_duty/18072.html
Top Secret,http://community.livejournal.com/clinic_duty/18302.html
Fetal Position,http://community.livejournal.com/clinic_duty/18471.html
Airborne,http://community.livejournal.com/clinic_duty/18807.html
Act Your Age,http://community.livejournal.com/clinic_duty/19063.html
House Training,http://community.livejournal.com/clinic_duty/19335.html
Family,http://community.livejournal.com/clinic_duty/19667.html
Resignation,http://community.livejournal.com/clinic_duty/20065.html
The Jerk,http://community.livejournal.com/clinic_duty/20464.html
Human Error,http://community.livejournal.com/clinic_duty/20679.html
Alone,http://community.livejournal.com/clinic_duty/21422.html
The Right Stuff,http://community.livejournal.com/clinic_duty/21553.html
97 Seconds,http://community.livejournal.com/clinic_duty/22001.html
Guardian Angels,http://community.livejournal.com/clinic_duty/22019.html
"Mirror, Mirror",http://community.livejournal.com/clinic_duty/22351.html
Whatever It Takes,http://community.livejournal.com/clinic_duty/22579.html
Ugly,http://community.livejournal.com/clinic_duty/22887.html
You Don't Want to Know,http://community.livejournal.com/clinic_duty/23203.html
Games,http://community.livejournal.com/clinic_duty/23524.html
It's a Wonderful Lie,http://community.livejournal.com/clinic_duty/23762.html
Frozen,http://community.livejournal.com/clinic_duty/24047.html
Don't Ever Change,http://community.livejournal.com/clinic_duty/24136.html
No More Mr. Nice Guy,http://community.livejournal.com/clinic_duty/24688.html#cutid1
Living the Dream,http://community.livejournal.com/clinic_duty/24882.html#cutid1
House’s Head,http://community.livejournal.com/clinic_duty/25339.html#cutid1
Wilson’s Heart,http://community.livejournal.com/clinic_duty/25392.html#cutid1
Dying Changes Everything,http://community.livejournal.com/clinic_duty/25681.html#cutid1
Not Cancer,http://community.livejournal.com/clinic_duty/26071.html#cutid1
Adverse Events,http://community.livejournal.com/clinic_duty/26361.html#cutid1
Birthmarks,http://community.livejournal.com/clinic_duty/26501.html#cutid1
Lucky Thirteen,http://community.livejournal.com/clinic_duty/26640.html#cutid1
Joy,http://community.livejournal.com/clinic_duty/26966.html#cutid1
The Itch,http://community.livejournal.com/clinic_duty/27219.html#cutid1
Emancipation,http://community.livejournal.com/clinic_duty/28068.html#cutid1
Last Resort,http://community.livejournal.com/clinic_duty/28372.html#cutid1
Let Them Eat Cake,http://community.livejournal.com/clinic_duty/28423.html#cutid1
Joy to the World,http://community.livejournal.com/clinic_duty/28897.html#cutid1
Painless,http://community.livejournal.com/clinic_duty/28985.html#cutid1
Big Baby,http://community.livejournal.com/clinic_duty/29279.html#cutid1
The Greater Good,http://community.livejournal.com/clinic_duty/29549.html#cutid1
Unfaithful,http://community.livejournal.com/clinic_duty/29802.html#cutid1
The Softer Side,http://community.livejournal.com/clinic_duty/30093.html#cutid1
The Social Contract,http://community.livejournal.com/clinic_duty/30447.html#cutid1
Here Kitty,http://community.livejournal.com/clinic_duty/30524.html#cutid1
Locked In,http://community.livejournal.com/clinic_duty/30740.html#cutid1
Simple Explanation,http://community.livejournal.com/clinic_duty/31125.html#cutid1
Saviors,http://community.livejournal.com/clinic_duty/31396.html#cutid1
House Divided,http://community.livejournal.com/clinic_duty/31515.html#cutid1
Under My Skin,http://community.livejournal.com/clinic_duty/31832.html#cutid1
Both Sides Now,http://community.livejournal.com/clinic_duty/32000.html#cutid1
"Broken, Part One",http://community.livejournal.com/clinic_duty/32773.html#cutid1
"Broken, Part Two",http://community.livejournal.com/clinic_duty/33247.html#cutid1
Epic Fail,http://community.livejournal.com/clinic_duty/33428.html#cutid1
The Tyrant,http://community.livejournal.com/clinic_duty/33709.html#cutid1
Instant Karma,http://community.livejournal.com/clinic_duty/33806.html#cutid1
Brave Heart,http://community.livejournal.com/clinic_duty/34126.html#cutid1
Known Unknowns,http://community.livejournal.com/clinic_duty/34555.html#cutid1
Teamwork,http://community.livejournal.com/clinic_duty/34621.html#cutid1
Ignorance is Bliss,http://community.livejournal.com/clinic_duty/34995.html#cutid1
Wilson,http://community.livejournal.com/clinic_duty/35118.html#cutid1
The Down Low,http://community.livejournal.com/clinic_duty/35455.html#cutid1
Remorse,http://community.livejournal.com/clinic_duty/35639.html#cutid1
